date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:21:05	84897/84897	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:00%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/icons_flag.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/icons_flag.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:06	90087/90087	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:00%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/icons_weather.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/icons_weather.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:06	69644/69644	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:04%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_ribbons.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_ribbons.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:06	75804/75804	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:04%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_sliders.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_sliders.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:07	90341/90341	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:04%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_typography.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_typography.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:07	98846/98846	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:04%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_tab.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_tab.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:07	83451/83451	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:04%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_timeline.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_timeline.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:08	72006/72006	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:04%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_timeline_horizontal.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_timeline_horizontal.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:08	70744/70744	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:13:58%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/component_bootstrap_switch.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/component_bootstrap_switch.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:08	63251/63251	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:13:58%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/component_date_paginator.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/component_date_paginator.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:09	70439/70439	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:13:58%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/component_media_advanced.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/component_media_advanced.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:09	66180/66180	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:13:58%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/component_rangeslider.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/component_rangeslider.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:09	66692/66692	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:13:58%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/component_rating.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/component_rating.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:10	95365/95365	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:13:58%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/component_animations.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/component_animations.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:10	62898/62898	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:00%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/extension_fullscreen.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/extension_fullscreen.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:10	62668/62668	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:00%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/extension_pace.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/extension_pace.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:11	66826/66826	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:13:58%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/component_nestable.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/component_nestable.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:11	64915/64915	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:13:58%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/component_portlet_draggable.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/component_portlet_draggable.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:11	103828/103828	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:00%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/forms_advanced.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/forms_advanced.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:11	95252/95252	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:00%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/forms_general.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/forms_general.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:12	85090/85090	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:00%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/forms_wizard.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/forms_wizard.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:12	75914/75914	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:00%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/forms_validation.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/forms_validation.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:12	66613/66613	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:00%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/forms_mask.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/forms_mask.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:13	64225/64225	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:00%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/forms_xeditable.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/forms_xeditable.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:13	62012/62012	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:00%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/forms_dropzone.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/forms_dropzone.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
